name	In_01	In_03	In_05	In_08	In_15	In_24	In_29	In_41	In_50	In_60
Cellulomonas fimi	0.00108	0	9e-4	0.00133	0.00108	0	0	0	0	0
Cellulomonas flavigena	7.6e-4	0	6.7e-4	0	5.6e-4	0	0	0	0	0
Cellulomonas xiejunii	6.4e-4	0	0	0	4.1e-4	0	0	0	0	0
Cellulomonas shaoxiangyii	4.8e-4	0	3.5e-4	0	5e-4	0	0	0	0	0
Actinotalea sp. JY-7876	8.3e-4	0	7.2e-4	5.9e-4	0.00108	0	0	4.6e-4	0	0
Brachybacterium sp. GU-2	0.00602	0.00214	0.00535	0.00485	0.00997	7.7e-4	0.00187	0.00336	0	0
Brachybacterium sp. Z12	8.6e-4	5.2e-4	0.00119	4.8e-4	7.6e-4	0	0	4.2e-4	0	0
Brachybacterium sp. P6-10-X1	5.1e-4	4.5e-4	8.4e-4	5.1e-4	9.9e-4	0	0	4.9e-4	0	0
Brachybacterium saurashtrense	6.4e-4	0	0.00165	5.1e-4	0.00137	0	0	4.6e-4	0	0
Brachybacterium ginsengisoli	6.7e-4	0	0.00093000000000000005	5.9e-4	8.2e-4	0	0	4.6e-4	0	0
Brachybacterium faecium	5.4e-4	0	0.00101	4e-4	6.7e-4	0	0	4.9e-4	0	0
Brachybacterium vulturis	4.8e-4	0	9.8e-4	4e-4	6.4e-4	0	0	4.6e-4	0	0
Brachybacterium avium	3.8e-4	0	7.2e-4	0	4.7e-4	0	0	0	0	0
Georgenia wutianyii	0.00182	9.7e-4	0.01189	0.00322	0.00404	0	0	9.5e-4	0	0
Georgenia faecalis	8.9e-4	0	0.00148	7.9e-4	4.4e-4	0	0	3.6e-4	0	0
Georgenia sp. TF02-10	9.9e-4	0	0.00243	8.5e-4	0.00173	0	0	6.8e-4	0	0
Georgenia yuyongxinii	7e-4	0	0.00116	4.5e-4	9.9e-4	0	0	4.2e-4	0	0
Cellulosimicrobium cellulans	0.00163	0	0.00148	7.9e-4	0.00211	0	0	0	0	0
Cellulosimicrobium protaetiae	4.8e-4	0	0	0	0	0	0	0	0	0
Isoptericola variabilis	6.1e-4	0	3.8e-4	0	0	0	0	4.9e-4	0	0
Barrientosiimonas endolithica	8e-4	0	8.1e-4	0	0.00102	0	0	0	0	0
Sanguibacter keddieii	4.5e-4	0	0	0	0	0	0	0	0	0
Pengzhenrongella sicca	3.5e-4	0	3.2e-4	0	3.5e-4	0	0	0	0	0
Kytococcus sedentarius	3.8e-4	0	7.2e-4	5.6e-4	0.00108	0	0	9.1e-4	0	0
Nocardioides sp. zg-1228	0.00507	0	0.0013	0.00119	0.00295	0	0	9.8e-4	0	0
Nocardioides sp. S5	0.00516	0.00117	0.00148	0.00107	0.00383	0	0	9.8e-4	0	0
Nocardioides sp. S-34	0.00437	8.8e-4	0.00124	0.0011	0.0026	0	0	7.5e-4	0	0
Nocardioides sp. HDW12B	0.00395	0	0.00148	0.00141	0.00354	0	0	8.2e-4	0	0
Nocardioides sp. LMS-CY	0.00252	6.5e-4	7.2e-4	8.5e-4	0.0024	0	0	0	0	0
Nocardioides sp. TF02-7	0.00242	0	8.7e-4	6.5e-4	0.00202	0	0	6.5e-4	0	0
Nocardioides sp. Arc9.136	0.00265	0	9.5e-4	9.9e-4	0.00252	0	0	7.8e-4	0	0
Nocardioides sp. W7	0.00204	0	7.8e-4	7.9e-4	0.0019	0	0	4.6e-4	0	0
Nocardioides sp. JS614	0.00366	0	0.00124	0.00164	0.00532	0	0	0.00147	0	0
Nocardioides sp. S-1144	0.00175	0	7.5e-4	5.1e-4	0.00187	0	0	5.2e-4	0	0
