name	In_01	In_03	In_05	In_08	In_15	In_24	In_29	In_41	In_50	In_60
Exiguobacterium marinum	0	0	0.00185	0	6.7e-4	0	0	5.9e-4	0	0
Evansella sp. LMS18	0	0	5.5e-4	0	0	0	0	0	0	0
Staphylococcus haemolyticus	0	0	4.1e-4	4.2e-4	0	0	0	0	0	0
Staphylococcus aureus	0	0	0.00116	0	0	0	0.00361	0	0	0
Staphylococcus gallinarum	0	0	2.9e-4	0	4.7e-4	0	0	0	0	0
Macrococcus caseolyticus	0	0	9e-4	0	0	0	0	8.2e-4	0	0
Macrococcus bohemicus	0	0	0.00104	0	0	0	0	0	0	0
Jeotgalicoccus saudimassiliensis	0	0	5.8e-4	0	0	0	0	0	0	0
Jeotgalicoccus sp. WY2	0	0	5.2e-4	3.7e-4	4.1e-4	0	0	0	0	0
Mammaliicoccus sciuri	0	0	5.8e-4	4.2e-4	7.9e-4	0	0	5.9e-4	0	0
Lactobacillus johnsonii	0	0	5.2e-4	0	0	0	0	0	0	0
Lactobacillus delbrueckii	0	0	4.6e-4	0	0	0	0	0	0	0
Lactobacillus amylovorus	0	0	4.3e-4	7.1e-4	0	0	0	5.5e-4	0	0
Weissella cibaria	0	0	4.9e-4	0	0	0	0	3.6e-4	0	0
Weissella paramesenteroides	0	0	4.1e-4	0	0	0	0	5.5e-4	0	0
Ligilactobacillus salivarius	0	0	6.7e-4	3.1e-4	0	0	0	0	0	0
Limosilactobacillus fermentum	0	0	7.8e-4	0	8.2e-4	0	0	5.5e-4	0	0
Lactiplantibacillus plantarum	0	0	5.8e-4	0	0	0	0	0	0	0
Streptococcus parasuis	0	0	0.002	0.00198	0	0	0.00143	0.00457	0	0
Streptococcus infantarius	0	0	0.00136	0	9.7e-4	0	0	0	0	0
Streptococcus thermophilus	0	0	3.5e-4	0	0	0	0	0	0	0
Streptococcus lutetiensis	0	0	5.2e-4	0	0	0	0	0	0	0
Lactococcus lactis	0	0	0.00093000000000000005	0	0	0.00103	0	0.00248	0	0
Globicatella sanguinis	0	0	9.5e-4	0	0	0	0	0	0	0
Fundicoccus culcitae	0	0	3.8e-4	0	0	0	0	0	0	0
Jeotgalibaca dankookensis	0	0	4.6e-4	0	0	0	0	0	0	0
Jeotgalibaca porci	0	0	3.8e-4	0	0	0	0	0	0	0
Jeotgalibaca arthritidis	0	0	5.5e-4	0	0	0	0	0	0	0
Marinilactibacillus sp. 15R	0	0	6.7e-4	0	0	0	0	0	0	0
Enterococcus faecium	0	0	0.00327	0	0.00214	0	0	0	0	0
Enterococcus casseliflavus	0	0	0.00177	0	0.00123	0	0	0	0	0
Enterococcus hirae	0	0	5.5e-4	0	0	0	0	0	0	0
Clostridium perfringens	0	0	6.9e-4	7.6e-4	6.4e-4	0	0	0	0	0
Blautia wexlerae	0	0	9.8e-4	8.5e-4	0	0	0	0	0	0
Blautia hansenii	0	0	6.4e-4	3.7e-4	0	0	0	0	0	0
Butyrivibrio fibrisolvens	0	0	3.5e-4	0	0	0	0	0	0	0
Enterocloster bolteae	0	0	3.8e-4	0	0	0	0	0	0	0
[Clostridium] scindens	0	0	3.8e-4	0	0	0	0	0	0	0
Ruminococcus bovis	0	0	4.1e-4	0	0	0	0	0	0	0
Clostridioides difficile	0	0	4.3e-4	0	4.7e-4	0	0	0	0	0
Peptacetobacter hiranonis	0	0	3.5e-4	3.4e-4	0	0	0	0	0	0
Turicibacter bilis	0	0	0.00258	0	0.00193	0	0	0	0	0
Paracoccus sp. TOH	0	0	5.2e-4	0	0	0	0	0	0	0
Paracoccus suum	0	0	6.1e-4	4.2e-4	7e-4	0	0	0	0	0
Paracoccus jeotgali	0	0	5.5e-4	0	7.3e-4	0	0	0	0	0
Paracoccus alcaliphilus	0	0	6.4e-4	0	0	0	0	6.2e-4	0	0
Paracoccus versutus	0	0	7.5e-4	0	9.4e-4	0	0	8.2e-4	0	0
Paracoccus aestuarii	0	0	3.8e-4	3.4e-4	4.4e-4	0	0	3.6e-4	0	0
Paracoccus sediminicola	0	0	6.1e-4	0	0	0	0	0	0	0
Paracoccus denitrificans	0	0	5.5e-4	0	5.3e-4	0	0	5.2e-4	0	0
Paracoccus aminovorans	0	0	3.8e-4	3.4e-4	4.4e-4	0	0	0	0	0
Rhodobacter sp. CZR27	0	0	3.5e-4	3.1e-4	4.1e-4	0	0	0	0	0
uncultured Cohaesibacter sp.	0	0	3.2e-4	0	0	0	0	0	0	0
Acinetobacter baumannii	0	0	0.00353	0.0013	0.00284	0	0.00361	0.01337	0	0
Acinetobacter sp. SCLZS86	0	0	6.9e-4	0	0	0	0	0.00734	0	0
Acinetobacter towneri	0	0	0.00122	0	8.8e-4	0	0.00187	0.01327	0.00302	0
Acinetobacter lwoffii	0	0	5.8e-4	0	0	0	0	0.00127	0.0012	0
Pseudomonas aeruginosa	0	0	0.0031	0	0.00412	0	0	0.00443	0.00265	0
Pseudomonas saudiphocaensis	0	0	4.3e-4	0	0	0	0	0	0	0
Luteimonas sp. JM171	0	0	0.00156	5.9e-4	3.8e-4	0	0	0	0	0
Luteimonas sp. YGD11-2	0	0	7.8e-4	0	4.7e-4	0	0	0	0	0
Luteimonas granuli	0	0	7.5e-4	0	5.3e-4	0	0	0	0	0
Enterobacter cloacae	0	0	0.00093000000000000005	0	0.00228	0	0	0	0	0
Halomonas sp. Y3	0	0	0.00104	0	0	0	0	0	0	0
Comamonas aquatica	0	0	0.00116	0.00119	7.6e-4	0	0.0027	0.00851	0.00141	0
Comamonas kerstersii	0	0	5.5e-4	0	6.7e-4	0	0	0	0	0
Sphaerotilus sulfidivorans	0	0	6.7e-4	0	0	0	0	0	0.00223	0
Thauera sp. GDN1	0	0	5.5e-4	7.3e-4	8.5e-4	0	0	0.00264	0	0
Thauera aminoaromatica	0	0	0.00104	0	0.00211	0	0	0.00101	0	0
Segatella hominis	0	0	4.6e-4	0	0	0	0	0	0	0
Bacteroides graminisolvens	0	0	7.8e-4	0	0	0	0	0.00245	0	0
Chryseobacterium sp.	0	0	5.5e-4	4e-4	0.00129	0	9.1e-4	0.00316	0.0127	0
Cloacibacterium caeni	0	0	0.0011	8.2e-4	0	0	0.00111	0.04777	0	9.5e-4
Aliarcobacter cryaerophilus	0	0	5.5e-4	0	4.1e-4	0	0	0	0	0
Pichia kudriavzevii	0	0	3.5e-4	0	3.2e-4	0	0	0	0	0
Methanosphaera sp. BMS	0	0	9.8e-4	0	0	0	0	0	0	0
Bifidobacterium adolescentis	0	0	0	3.7e-4	0	0	0	0	0	0
Corynebacterium camporealensis	0	0	0	3.1e-4	0	0	0	0	0	0
Eggerthella lenta	0	0	0	5.4e-4	0	6.6e-4	0	0	0	0
Romboutsia hominis	0	0	0	2.8e-4	0	0	0	0	0	0
Staphylococcus cohnii	0	0	0	0.00133	0	0	0	0	0	0
Staphylococcus arlettae	0	0	0	5.6e-4	7e-4	0	0	0.00108	0	0
Thermoactinomyces vulgaris	0	0	0	4.8e-4	0	0	0	0	0	0
Megasphaera elsdenii	0	0	0	3.7e-4	0	0	0	0	0	0
Megamonas funiformis	0	0	0	5.6e-4	0	0	0	0	0	0
Catenibacterium sp. co_0103	0	0	0	7.6e-4	0	0	0	0	0	0
Deinococcus wulumuqiensis	0	0	0	0.00133	0	0	4.8e-4	0.00176	0	0
Deinococcus metallilatus	0	0	0	4.5e-4	0	0	0	0	0	0
Chroococcidiopsis thermalis	0	0	0	0.00093000000000000005	0	0	0	0	0	0
Stanieria cyanosphaera	0	0	0	6.2e-4	0	0	0	0	0	0
Paracoccus sp. Arc7-R13	0	0	0	9.6e-4	0	0.00118	0	0	0	0
Paracoccus stylophorae	0	0	0	4.5e-4	0.00102	0	0	7.2e-4	0	0
Acinetobacter johnsonii	0	0	0	4.2e-4	0	0	0.00198	0.00329	0	0
Pseudoxanthomonas mexicana	0	0	0	7.9e-4	0.00559	0	0	0.00287	0.00418	0
Pseudomonas alcaligenes	0	0	0	4e-4	5e-4	0	0	0.00153	0	0
Stutzerimonas balearica	0	0	0	7.6e-4	0.00404	0	0	6.2e-4	0	0
Sutterella wadsworthensis	0	0	0	7.1e-4	0	4.4e-4	0	0	0	0
Thauera humireducens	0	0	0	4.8e-4	0.00164	0	0	0.00117	0	0
Conchiformibius steedae	0	0	0	3.4e-4	0	0	0	0	0	0
Phocaeicola vulgatus	0	0	0	7.1e-4	0	0	0	0	0	0
Porphyromonas cangingivalis	0	0	0	4.8e-4	0	0	0	0	0	0
Chryseobacterium sp. 6424	0	0	0	5.1e-4	0	0	0	0	0	0
Cloacibacterium normanense	0	0	0	3.1e-4	0	0	6e-4	0.024	0	0
Haliangium ochraceum	0	0	0	2.8e-4	2.9e-4	0	0	0	0	0
Talaromyces marneffei	0	0	0	3.1e-4	0	0	0	0	0	0
Arthrobacter sp. YC-RL1	0	0	0	0	8.8e-4	0	9.5e-4	0	0	0
Microbacterium sp. A18JL241	0	0	0	0	7e-4	0	0	0	0	0
Microbacterium sp. KUDC0406	0	0	0	0	4.7e-4	0	0	0	0	0
Microbacterium sp.	0	0	0	0	4.4e-4	0	0	0	0	0
Microbacterium sp. No. 7	0	0	0	0	5.8e-4	0	0	0	0	0
Microbacterium sp. 1S1	0	0	0	0	9.7e-4	0	0	0	0	0
Microbacterium sp. zg-B185	0	0	0	0	3.8e-4	0	0	0	0	0
Microbacterium sediminis	0	0	0	0	7.9e-4	0	0	0	0	0
Microbacterium oleivorans	0	0	0	0	4.7e-4	0	0	0.0013	0	0
Microbacterium proteolyticum	0	0	0	0	4.4e-4	0	0	0	0	0
Agromyces sp. H17E-10	0	0	0	0	6.1e-4	0	0	0	0	0
Agromyces marinus	0	0	0	0	4.7e-4	0	0	0	0	0
Leucobacter allii	0	0	0	0	4.4e-4	0	0	0	0	0
Salinibacterium sp. dk2585	0	0	0	0	3.5e-4	0	0	0	0	0
Cellulomonas taurus	0	0	0	0	4.4e-4	0	0	0	0	0
Cellulomonas palmilytica	0	0	0	0	5e-4	0	0	0	0	0
Xylanimonas protaetiae	0	0	0	0	4.7e-4	0	0	0	0	0
Yimella sp. cx-51	0	0	0	0	3.2e-4	0	0	0	0	0
Ruania suaedae	0	0	0	0	3.2e-4	0	0	0	0	0
Austwickia chelonae	0	0	0	0	2.9e-4	0	0	0	0	0
Nocardioides sp. WS12	0	0	0	0	8.8e-4	0	0	0	0.00108	0
Aeromicrobium sp. A1-2	0	0	0	0	3.2e-4	0	0	0	0	0
Aeromicrobium yanjiei	0	0	0	0	5.6e-4	0	0	0	0	0
Solicola gregarius	0	0	0	0	3.8e-4	0	0	0	0	0
Tessaracoccus timonensis	0	0	0	0	5.8e-4	0	0	0	0	0
Raineyella sp. W15-4	0	0	0	0	7.6e-4	0	0	0	0	0
Raineyella fluvialis	0	0	0	0	5.8e-4	0	0	0	0	0
Auraticoccus monumenti	0	0	0	0	4.4e-4	0	0	0	0	0
Propionimicrobium sp. PCR01-08-3	0	0	0	0	2.9e-4	0	0	0	0	0
Mycolicibacterium fortuitum	0	0	0	0	0.00228	0	0	0	0	0
Mycolicibacterium gilvum	0	0	0	0	0.0012	0	0	0	0	0
Mycolicibacterium parafortuitum	0	0	0	0	4.4e-4	0	0	0	0	0
Mycolicibacterium monacense	0	0	0	0	5.6e-4	0	0	0	0	0
Rhodococcus sp. RDE2	0	0	0	0	8.2e-4	0	0	0	0.00128	0
Rhodococcus sp. Z13	0	0	0	0	3.5e-4	0	0	0	0	0
Rhodococcus gordoniae	0	0	0	0	5.8e-4	0	0	0	0	0
Rhodococcus ruber	0	0	0	0	0.00214	0	0	0	0.01133	0
Rhodococcus fascians	0	0	0	0	3.5e-4	0	0	0	0	0
Prescottella equi	0	0	0	0	4.7e-4	0	0	0	0	0
Gordonia sp. PP30	0	0	0	0	4.1e-4	0	0	0	0	0
Gordonia rubripertincta	0	0	0	0	0.00123	0	0	0	0	0
Gordonia iterans	0	0	0	0	3.5e-4	0	0	0	0	0
Streptomyces sp. SCUT-3	0	0	0	0	7e-4	0	0	0	0	0
Streptomyces sp. CdTB01	0	0	0	0	0.00105	0	0	0	0	0
Streptomyces sp. SN-593	0	0	0	0	5.3e-4	0	0	0	0	0
Streptomyces collinus	0	0	0	0	0.0024	0	0	0	0	0
Streptomyces niveus	0	0	0	0	8.2e-4	0	0	0	0	0
Micromonospora sp. LH3U1	0	0	0	0	9.1e-4	0	0	0	0	0
Micromonospora sp. NBRC 110009	0	0	0	0	0.00102	0	0	0	0	0
Micromonospora terminaliae	0	0	0	0	9.4e-4	0	0	0	0	0
Pseudonocardia sp. HH130629-09	0	0	0	0	6.4e-4	0	0	0	0	0
Umezawaea sp. Da 62-37	0	0	0	0	6.7e-4	0	0	0	0	0
Actinomadura verrucosospora	0	0	0	0	3.8e-4	0	0	0	0	0
Thermobispora bispora	0	0	0	0	3.2e-4	0	0	0	0	0
Rossellomorea vietnamensis	0	0	0	0	6.1e-4	0	0	0	0	0
Planococcus antarcticus	0	0	0	0	3.5e-4	0	0	0	0	0
Staphylococcus nepalensis	0	0	0	0	0.00102	0	0	0	0	0
Sarcina sp. JB2	0	0	0	0	5.6e-4	0	0	0	0	0
Neorhizobium petrolearium	0	0	0	0	6.7e-4	0	0	0	0	0
Ensifer adhaerens	0	0	0	0	4.1e-4	0	0	0	0	0
Ciceribacter thiooxidans	0	0	0	0	6.7e-4	0	0	0	0	0
Paracoccus sp. MA	0	0	0	0	7.6e-4	0	0	0	0	0
Limimaricola variabilis	0	0	0	0	4.1e-4	0	0	0	0	0
Phenylobacterium sp. NIBR 498073	0	0	0	0	0.00345	0	0	0	0.00558	0
Phenylobacterium sp. LH3H17	0	0	0	0	3.5e-4	0	0	0	0.00182	0
Phenylobacterium parvum	0	0	0	0	3.8e-4	0	0	0	8.7e-4	0
Brevundimonas sp. M20	0	0	0	0	8.5e-4	0	0	0	0.00116	0
Caulobacter segnis	0	0	0	0	6.7e-4	0	0	0	0.00132	0
Stella humosa	0	0	0	0	3.2e-4	0	0	0	5.8e-4	0
Lysobacter sp. 5GHs7-4	0	0	0	0	6.4e-4	0	0	0	0	0
Lysobacter sp. CW239	0	0	0	0	4.7e-4	0	0	0	0	0
Lysobacter sp. KIS68-7	0	0	0	0	3.2e-4	0	0	0	0	0
Lysobacter terrestris	0	0	0	0	5.6e-4	0	0	0	0	0
Lysobacter enzymogenes	0	0	0	0	0.00196	0	0	0	0	0
Lysobacter lycopersici	0	0	0	0	4.1e-4	0	0	0	0	0
Lysobacter maris	0	0	0	0	4.4e-4	0	0	0	0	0
Lysobacter alkalisoli	0	0	0	0	3.8e-4	0	0	0	0	0
Lysobacter auxotrophicus	0	0	0	0	3.8e-4	0	0	0	0	0
Lysobacter soli	0	0	0	0	3.5e-4	0	0	0	0	0
Lysobacter arenosi	0	0	0	0	3.8e-4	0	0	0	0	0
Lysobacter solisilvae	0	0	0	0	3.2e-4	0	0	0	0	0
Stenotrophomonas acidaminiphila	0	0	0	0	0.00137	0	0	0	0.01725	0
Luteimonas sp. MC1750	0	0	0	0	7.3e-4	0	0	0	0	0
Luteimonas sp. MC1572	0	0	0	0	4.7e-4	0	0	0	0	0
Luteimonas sp. MC1825	0	0	0	0	3.5e-4	0	0	0	0	0
Thermomonas sp. XSG	0	0	0	0	0.00184	0	0	9.1e-4	0.00955	0
Thermomonas brevis	0	0	0	0	5.8e-4	0	0	0	8.7e-4	0
Thermomonas aquatica	0	0	0	0	4.7e-4	0	0	8.8e-4	6.2e-4	0
Thermomonas paludicola	0	0	0	0	3.8e-4	0	0	0	0	0
Xanthomonas campestris	0	0	0	0	0.00135	0	0	0.00108	0	0
Arenimonas daejeonensis	0	0	0	0	0.00114	0	0	8.5e-4	0	0
Pseudomonas phenolilytica	0	0	0	0	4.4e-4	0	0	0	0	0
Stutzerimonas degradans	0	0	0	0	6.1e-4	0	0	0	0	0
Klebsiella pneumoniae	0	0	0	0	0.00439	0	0	0	0	0
Comamonas testosteroni	0	0	0	0	0.00129	0	0	0	0.00368	0
Alicycliphilus denitrificans	0	0	0	0	0.00447	0	0	0	0.00422	0
Acidovorax temperans	0	0	0	0	0.0017	0	0	0.0044	0	0
Burkholderia gladioli	0	0	0	0	0.00178	0	0	0	0.00103	0
Achromobacter sp. MFA1 R4	0	0	0	0	4.7e-4	0	0	0	0	0
Achromobacter xylosoxidans	0	0	0	0	0.00143	0	0	0	0.00256	0
Pigmentiphaga sp. H8	0	0	0	0	3.2e-4	0	0	0	0	0
Piscinibacter gummiphilus	0	0	0	0	6.7e-4	0	0	0	0.005	0
Salinimicrobium tongyeongense	0	0	0	0	8.5e-4	0	0	0	0	0
Sphingobacterium sp. LZ7M1	0	0	0	0	7.9e-4	0	0	0	0	0
Sphingobacterium hotanense	0	0	0	0	4.4e-4	0	0	0	0.0019	0
Sphingobacterium daejeonense	0	0	0	0	3.8e-4	0	0	0	0.00132	0
Rhodocaloribacter litoris	0	0	0	0	4.4e-4	0	0	0	0	0
Anaeromyxobacter paludicola	0	0	0	0	4.7e-4	0	0	0	6.2e-4	0
Labilithrix luteola	0	0	0	0	2.9e-4	0	0	0	0	0
Halococcus dombrowskii	0	0	0	0	7.9e-4	0	0	0	0	0
Methanothrix soehngenii	0	0	0	0	8.8e-4	0	0	0	0	0
Methanobacterium formicicum	0	0	0	0	0.00149	0	0	0	0	0
Methanobacterium sp. CWC-01	0	0	0	0	3.2e-4	0	0	0	0	0
Pantoea agglomerans	0	0	0	0	0	6.6e-4	0	0.00111	0	0
Mixta hanseatica	0	0	0	0	0	5.5e-4	0	0	0	0
Asticcacaulis excentricus	0	0	0	0	0	5.9e-4	0	0	0	0
Burkholderia pseudomallei	0	0	0	0	0	0.00144	7.9e-4	0	0	0
Turneriella parva	0	0	0	0	0	5.2e-4	4.8e-4	0	0	0
Purpureocillium takamizusanense	0	0	0	0	0	0.001	0	0	0	0
Colletotrichum higginsianum	0	0	0	0	0	0.00107	0	0	0	0
Thermothielavioides terrestris	0	0	0	0	0	5.9e-4	5.2e-4	0	0	0
Thermothelomyces thermophilus	0	0	0	0	0	4.8e-4	0	0	0	0
Neurospora crassa	0	0	0	0	0	7.4e-4	0	0	0	0
Aspergillus fumigatus	0	0	0	0	0	5.5e-4	0	0	0	0
Leishmania mexicana	0	0	0	0	0	5.2e-4	0	5.9e-4	0	0
Varicellovirus bubalinealpha1	0	0	0	0	0	6.6e-4	0	0	0	0
Aspergillus flavus	0	0	0	0	0	0	0.00258	0	0	0
Aspergillus chevalieri	0	0	0	0	0	0	0.00266	0.00245	0	0
Psilocybe cubensis	0	0	0	0	0	0	0.00139	9.1e-4	0	0
Rhizoctonia solani	0	0	0	0	0	0	5.2e-4	0	0	0
Streptococcus infantis	0	0	0	0	0	0	0.00131	0	0	0
Corynebacterium amycolatum	0	0	0	0	0	0	0.00337	0	0	0
Corynebacterium aurimucosum	0	0	0	0	0	0	9.9e-4	0	0	0
Streptomyces harbinensis	0	0	0	0	0	0	0.00425	0	0	0
Acinetobacter haemolyticus	0	0	0	0	0	0	0.00111	6.2e-4	0	0
Psychrobacter sanguinis	0	0	0	0	0	0	0.00722	6.2e-4	0	0
Psychrobacter sp. van23A	0	0	0	0	0	0	0.00159	0	0	0
Microbacterium sp. BDGP8	0	0	0	0	0	0	0	0.0018600000000000001	0	0
Leucobacter aridicollis	0	0	0	0	0	0	0	8.8e-4	0	0
Cellulomonas sp. PSBB021	0	0	0	0	0	0	0	0.00104	0	0
Dermacoccus sp. PAMC28757	0	0	0	0	0	0	0	4.6e-4	0	0
Cutibacterium granulosum	0	0	0	0	0	0	0	3.9e-4	0	0
Acidipropionibacterium jensenii	0	0	0	0	0	0	0	6.2e-4	0	0
Propionibacterium acidifaciens	0	0	0	0	0	0	0	3.6e-4	0	0
Corynebacterium urealyticum	0	0	0	0	0	0	0	5.2e-4	0	0
Gardnerella swidsinskii	0	0	0	0	0	0	0	7.2e-4	0	0
Coprococcus comes	0	0	0	0	0	0	0	0.00173	0	0
[Ruminococcus] torques	0	0	0	0	0	0	0	4.9e-4	0	0
Exiguobacterium acetylicum	0	0	0	0	0	0	0	7.5e-4	0	0
Staphylococcus succinus	0	0	0	0	0	0	0	8.2e-4	0	0
Lactiplantibacillus pentosus	0	0	0	0	0	0	0	0.0017	0	0
Finegoldia magna	0	0	0	0	0	0	0	0.00238	0	0
Peptoniphilus harei	0	0	0	0	0	0	0	0.00189	0	0
Anaerococcus prevotii	0	0	0	0	0	0	0	6.8e-4	0	0
Gudongella oleilytica	0	0	0	0	0	0	0	4.6e-4	0	0
Deinococcus soli (ex Cha et al. 2016)	0	0	0	0	0	0	0	8.2e-4	0	0
Acinetobacter junii	0	0	0	0	0	0	0	0.04164	0	0
Acinetobacter sp. KCTC 92772	0	0	0	0	0	0	0	0.00137	0	0
Acinetobacter sp. WCHA45	0	0	0	0	0	0	0	0.00215	0	0
Acinetobacter sp. CS-2	0	0	0	0	0	0	0	9.8e-4	0.00244	0
Acinetobacter sp. SWBY1	0	0	0	0	0	0	0	0.00248	0	0
Acinetobacter sp. Z1	0	0	0	0	0	0	0	4.9e-4	0	0
Acinetobacter radioresistens	0	0	0	0	0	0	0	7.2e-4	0	0
Acinetobacter ursingii	0	0	0	0	0	0	0	0.00134	0	0
Acinetobacter bereziniae	0	0	0	0	0	0	0	6.5e-4	0	0
Moraxella sp. DOX410	0	0	0	0	0	0	0	0.0017	0	0
Pseudomonas sp. LTJR-52	0	0	0	0	0	0	0	0.00248	0	0
Pseudomonas mendocina	0	0	0	0	0	0	0	7.2e-4	0	0
Pseudomonas fragi	0	0	0	0	0	0	0	8.2e-4	0	0
Pseudomonas luteola	0	0	0	0	0	0	0	0.00124	0	0
Marinobacter nauticus	0	0	0	0	0	0	0	8.8e-4	0	0
Lysobacter oculi	0	0	0	0	0	0	0	5.2e-4	0.00157	0
Lysobacter capsici	0	0	0	0	0	0	0	0.00153	0	0
Pantoea sp. SOD02	0	0	0	0	0	0	0	4.2e-4	0	0
Rahnella inusitata	0	0	0	0	0	0	0	6.5e-4	0	0
Venatoribacter cucullus	0	0	0	0	0	0	0	4.2e-4	0	0
Rheinheimera sp. MM224	0	0	0	0	0	0	0	3.9e-4	0	0
Paracoccus pantotrophus	0	0	0	0	0	0	0	8.5e-4	0	0
Rhodobacter sp. LPB0142	0	0	0	0	0	0	0	8.5e-4	0	0
Hydrogenophaga sp. NH-16	0	0	0	0	0	0	0	0.00258	0	0
Hydrogenophaga sp. SL48	0	0	0	0	0	0	0	8.5e-4	6.6e-4	0
uncultured Hydrogenophaga sp.	0	0	0	0	0	0	0	0.00137	0.00112	0
Hydrogenophaga pseudoflava	0	0	0	0	0	0	0	0.00212	0	0
Hydrogenophaga taeniospiralis	0	0	0	0	0	0	0	7.8e-4	7.9e-4	0
Limnobacter sp. SAORIC-580	0	0	0	0	0	0	0	0.00134	0	0
Pseudoduganella lutea	0	0	0	0	0	0	0	6.8e-4	0.00112	0
Aquabacterium olei	0	0	0	0	0	0	0	8.8e-4	0.00335	0
Thauera sp. WB-2	0	0	0	0	0	0	0	4.6e-4	0	0
Cloacibacterium sp. TD35	0	0	0	0	0	0	0	0.00952	0	0
Chryseobacterium sp. SNU WT5	0	0	0	0	0	0	0	5.2e-4	0	0
Chryseobacterium taklimakanense	0	0	0	0	0	0	0	0.00307	0	0
Chryseobacterium manosquense	0	0	0	0	0	0	0	0.00218	0	0
Chryseobacterium suipulveris	0	0	0	0	0	0	0	0.0015	0	0
Chryseobacterium faecale	0	0	0	0	0	0	0	0.00101	6.6e-4	0
Chryseobacterium indoltheticum	0	0	0	0	0	0	0	7.5e-4	0	0
Chryseobacterium indologenes	0	0	0	0	0	0	0	7.8e-4	0	0
Chryseobacterium turcicum	0	0	0	0	0	0	0	6.2e-4	0	0
Candidatus Kaistella beijingensis	0	0	0	0	0	0	0	6.8e-4	0	0
Kaistella jeonii	0	0	0	0	0	0	0	5.5e-4	0	0
Kaistella daneshvariae	0	0	0	0	0	0	0	3.6e-4	0	0
Epilithonimonas vandammei	0	0	0	0	0	0	0	0.00124	0	0
Flavobacterium sp. N2820	0	0	0	0	0	0	0	0.00297	0	0
Flavobacterium sp. 20NA77.7	0	0	0	0	0	0	0	3.9e-4	0	0
Flavobacterium cyclinae	0	0	0	0	0	0	0	0.00476	0	0
Flavobacterium channae	0	0	0	0	0	0	0	0.00434	0	0
Flavobacterium indicum	0	0	0	0	0	0	0	0.00307	0	0
Flavobacterium haoranii	0	0	0	0	0	0	0	0.00173	0	0
Flavobacterium okayamense	0	0	0	0	0	0	0	8.5e-4	0	0
Flavobacterium dauae	0	0	0	0	0	0	0	6.5e-4	0	0
Flavobacterium azooxidireducens	0	0	0	0	0	0	0	4.2e-4	0	0
Prevotella corporis	0	0	0	0	0	0	0	5.5e-4	0	0
Phnomibacter ginsenosidimutans	0	0	0	0	0	0	0	0.00127	0	0
Sphaerochaeta associata	0	0	0	0	0	0	0	6.8e-4	0	0
uncultured Sphaerochaeta sp.	0	0	0	0	0	0	0	3.3e-4	0	0
Debaryomyces hansenii	0	0	0	0	0	0	0	0.00678	0	0
Massilia sp. R2A-15	0	0	0	0	0	0	0	0	0.00302	0
Massilia sp. DM-R-R2A-13	0	0	0	0	0	0	0	0	0.00223	0
Massilia sp. PAMC28688	0	0	0	0	0	0	0	0	0.00182	0
Massilia sp. YMA4	0	0	0	0	0	0	0	0	0.0024	0
Massilia sp. erpn	0	0	0	0	0	0	0	0	0.00368	0
Massilia violaceinigra	0	0	0	0	0	0	0	0	0.00269	0
Massilia oculi	0	0	0	0	0	0	0	0	0.00232	0
Massilia putida	0	0	0	0	0	0	0	0	0.0018600000000000001	0
Massilia antarctica	0	0	0	0	0	0	0	0	9.9e-4	0
Pseudoduganella aquatica	0	0	0	0	0	0	0	0	0.00269	0
Pseudoduganella umbonata	0	0	0	0	0	0	0	0	0.00161	0
Pseudoduganella flava	0	0	0	0	0	0	0	0	0.00141	0
Pseudoduganella plicata	0	0	0	0	0	0	0	0	0.0012	0
Pseudoduganella armeniaca	0	0	0	0	0	0	0	0	0.00136	0
Pseudoduganella chitinolytica	0	0	0	0	0	0	0	0	0.00103	0
Pseudoduganella albidiflava	0	0	0	0	0	0	0	0	0.00116	0
Pseudoduganella sp. SL102	0	0	0	0	0	0	0	0	0.00116	0
Telluria mixta	0	0	0	0	0	0	0	0	0.00463	0
Duganella dendranthematis	0	0	0	0	0	0	0	0	0.00132	0
Duganella zoogloeoides	0	0	0	0	0	0	0	0	0.00108	0
Rugamonas sp. DEMB1	0	0	0	0	0	0	0	0	0.00273	0
Herbaspirillum sp. WKF16	0	0	0	0	0	0	0	0	0.00265	0
Herbaspirillum sp. meg3	0	0	0	0	0	0	0	0	0.00124	0
Herbaspirillum hiltneri	0	0	0	0	0	0	0	0	0.00256	0
Herbaspirillum rubrisubalbicans	0	0	0	0	0	0	0	0	0.00232	0
Herbaspirillum robiniae	0	0	0	0	0	0	0	0	0.00248	0
Herbaspirillum huttiense	0	0	0	0	0	0	0	0	0.00256	0
Herbaspirillum seropedicae	0	0	0	0	0	0	0	0	0.00199	0
Herbaspirillum frisingense	0	0	0	0	0	0	0	0	0.0017	0
Noviherbaspirillum sp. UKPF54	0	0	0	0	0	0	0	0	0.01592	0
Janthinobacterium sp. 17J80-10	0	0	0	0	0	0	0	0	0.00422	0
Janthinobacterium sp. J1-1	0	0	0	0	0	0	0	0	0.0019	0
Janthinobacterium sp. Marseille	0	0	0	0	0	0	0	0	0.00112	0
Janthinobacterium agaricidamnosum	0	0	0	0	0	0	0	0	0.00339	0
Collimonas fungivorans	0	0	0	0	0	0	0	0	0.00302	0
Collimonas arenae	0	0	0	0	0	0	0	0	0.00223	0
Collimonas pratensis	0	0	0	0	0	0	0	0	0.00178	0
